"","Title","Release Date","Killer","Survivor","Map","Ref.","date","year_mon","img_links","gamename","year","month","avg","gain","peak","avg_peak_perc","month_num","pos_neg"
"1","The Last Breath","August 18, 2016","Nurse","Nea Karlsson","The Asylum (Crotus Prenn Asylum)","[14]",2016-08-18,Aug 2016,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/0/05/K04_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20161211040202","Dead by Daylight",2016,"August",15832.73,2493.79,42268,"37.45",8,1
"2","Halloween","October 25, 2016","Shape","Laurie Strode","Lampkin Lane (Haddonfield)","[15]",2016-10-25,Oct 2016,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/3/3f/K05_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20161211040455","Dead by Daylight",2016,"October",12324.01,-537.78,29147,"42.282",10,0
"3","Of Flesh and Mud","December 8, 2016","Hag","Ace Visconti","The Pale Rose (Backwater Swamp)","[16]",2016-12-08,Dec 2016,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/f/fb/K06_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20161211042831","Dead by Daylight",2016,"December",17040.03,2068.7,42895,"39.72",12,1
"4","Spark of Madness","May 11, 2017","Doctor","Feng Min","Treatment Theatre (Léry's Memorial Institute)","[18]",2017-05-11,May 2017,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/a/ac/K07_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20170511233430","Dead by Daylight",2017,"May",8921.47,505.44,20067,"44.458",5,0
"5","A Lullaby for the Dark","July 27, 2017","Huntress","David King","Mother's Dwelling (Red Forest)","[19]",2017-07-27,Jul 2017,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/5/5e/K08_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20170727160703","Dead by Daylight",2017,"July",10292.33,335.65,23814,"43.219",7,1
"6","LeatherFace","September 14, 2017","Cannibal","-","-","[20]",2017-09-14,Sep 2017,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/f/f7/K09_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20170914162530","Dead by Daylight",2017,"September",14490.63,2128.37,38698,"37.445",9,1
"7","A Nightmare on Elm Street","October 26, 2017","Nightmare","Quentin Smith","Badham Preschool (Springwood)","[21]",2017-10-26,Oct 2017,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/1/1d/K10_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20171026214008","Dead by Daylight",2017,"October",14883.44,392.81,36343,"40.952",10,0
"8","Saw","January 23, 2018","Pig","David Tapp","The Game (Gideon Meat Plant)","[22]",2018-01-23,Jan 2018,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/0/06/K11_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20180123224739","Dead by Daylight",2018,"January",14626.25,1020.56,33164,"44.102",1,1
"9","Curtain Call","June 12, 2018","Clown","Kate Denson","Father Campbell's Chapel (Crotus Prenn Asylum)","[23]",2018-06-12,Jun 2018,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/b/b1/K12_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20200719143000","Dead by Daylight",2018,"June",19506.18,5712,36423,"53.554",6,0
"10","Shattered Bloodline","September 18, 2018","Spirit","Adam Francis","Family Residence (Yamaoka Estate)","[24]",2018-09-18,Sep 2018,"https://static.wikia.nocookie.net/deadbydaylight_gamepedia_en/images/4/4f/K13_charPreview_portrait.png/revision/latest/scale-to-width-down/180?cb=20180927124110","Dead by Daylight",2018,"September",21889.9,2363.66,62756,"34.88",9,1
