"id","description"
1140,"Located off Highway 14, Sand Canyon exit turn right, go past housing developments to locked gate. Behind this gate is the old set for filming High Chapperal (an old TV series) and an old ordnance facility that used to mix explosives for devices used in the military. The lead azide was mixed in giant Kitchen Aide type mixers in concrete mixing bays. Over the years several of the mixing bays blew up. Witnesses say they saw and heard the men screaming as they ran across the field with only their belts and shoes on the charred bodies. The facility could not keep any night shift guards because of reported screaming and lights turning on and off in locked buildings. Many employees reported being saved before their mixing bay blew up. One employee even reported not being able to open a bathroom door with no lock until the mixing bay blew up."
1141,"Next door to the Egg Plantation (also reportedly haunted). Both businesses converted from old homes. This is one of the oldest neighborhoods in LA County. Tags flap around as if someone walked by. Items heard shifting around. Steps sometimes heard. Loud objects clanging during morning pre-open hours. First hand accounts of ghostly apparitions in restaurant next door, including an angry cook."
1142,"When sitting at the bar, people are constantly looking over their shoulders back at the front door, seeing things out of the peripheral vision."
1143,"The home of the silent film star William S. Hart. Mr. Hart is scene by people that he recognizes and likes (namely docents). He and his sister (also a ghost) are the only people to have ever really lived in the home. The ghost of their nurse as well as Mr. Hart's dogs are also seen. Coffee is often smelled in the museum."
1144,"Allegedly once occupied by sea serpent / monster and various demons. Once settled as a mining / farm community by Spaniards who reported dead cattle, sickness and ruined crops. Historical accounts of a terrible sulfuric smell pervading the surrounding area. The monster / creatures have not been seen recently, but the odor persists to this day, as well as an eerie presence in the town and homes there."
1145,"In the mid 80's a car load of kids going to prom wrecked their car at the intersection of Sand Canyon Road & Warm Springs Road. Reports of a young woman signaling for help, and then vanishing."
1146,"Every night just a few hours after the park is free of all guests, the security base get a phone call from Goliath (caller identification) and when they answer, all they hear is static. After numerous calls, a few security guards investigated the matter. When the base got the call, they radioed two guards waiting on the exit ramp. When the guards ran up to the station, there was nobody around. They searched every part of the ride and found nothing but an empty feeling."
1157,"It is said that at night you can hear football players from the past practicing at night in the field. And in the 100 building you can see a girl in her prom dress and her date who hung himself in that building roaming the halls."
1158,"Building 500 - motion activated sinks and toilets in the boys bathroom have gone off with no one standing near them."
1203,"sightings of a little girl crying behind a bush at really late hours of the night! Also the ghost of the midnight jogger has been seen around this area and next to the lake!"
1216,"In 1968 a young man died in the Hahn auditorium. Student's have heard footsteps and have felt cold spots."
1217,"there's was a white little girl with green eyes that got killed by her boyfriend. apparently he was a gang member. it says that her spirit follows around the school, and you can hear her cried at times in the night."
1248,"The ghost of a WWII soldier is still trying to get a message to his son."
